codice_comune_istat,idPubblicazione,dataUltimaModifica,specs_version,compliance_status,reason_42004,website_cms,website_cms_other,people_disabled,people_desk_disabled,comune
083088,5f65d0c0-7999-11ef-82b0-3f195e903d42,2024-09-23T10:44:43.514Z,wcag-21,partially-compliant,true,other,UMBRACO,2,2,Sant'Angelo di Brolo
083089,ce198d90-a1ad-11ef-8596-ed09c0944f60,2024-11-13T10:42:25.360Z,wcag-21,compliant,false,other,Municipium,6,6,Santa Teresa di Riva
083090,e5d639e0-d0a4-11ee-8b84-a158c8a57145,2024-02-21T10:31:25.296Z,wcag-21,partially-compliant,false,wordpress,null,0,0,San Teodoro
083091,a1f42890-6122-11ef-ab7e-cf8c0fc621c0,2024-08-23T07:37:11.665Z,wcag-21,partially-compliant,true,wordpress,null,1,1,Santo Stefano di Camastra
083092,9c2812b0-bba3-11ef-83b9-e59540584046,2024-12-16T11:39:52.824Z,wcag-21,partially-compliant,true,other,Sitemanager 3.0,0,0,Saponara
083093,ab27a160-fb3e-11ef-8ff9-d7d2df90e2bf,2025-03-07T10:26:42.091Z,null,null,null,null,null,null,null,Savoca
083094,c5d12d30-8094-11ef-9dbf-371b72c34c61,2024-10-02T07:45:46.591Z,wcag-21,compliant,false,wordpress,null,2,0,Scaletta Zanclea
083096,4e6ce7e0-0e09-11f0-b6fe-696f0325a3fa,2025-03-31T08:15:26.871Z,wcag-21,compliant,false,wordpress,null,2,1,Spadafora
083099,4a561b10-bc4f-11ef-905d-27d5b80786d6,2024-12-17T08:14:15.921Z,wcag-21,partially-compliant,true,wordpress,null,0,0,Tortorici
083100,19861d20-797c-11ef-8e73-5940f8a88f92,2024-09-23T07:16:56.051Z,wcag-21,partially-compliant,true,other,OpenCity Italia,1,1,Tripi
083102,5d078150-8f85-11ef-9514-fddb8f8f30da,2024-10-21T08:05:06.785Z,wcag-21,compliant,false,other,Municipium,0,0,Ucria
083103,982aff10-ce68-11ef-9791-891a357648fb,2025-01-09T08:54:33.029Z,wcag-21,partially-compliant,true,other,"CMS Proprietario , realizzato dall'azienda stessa, nome eGov Halley",1,1,Valdina
083104,70b2c930-dc7a-11ee-bbe9-8de8b82bca38,2024-03-07T11:59:41.978Z,wcag-21,compliant,false,other,Nuvola,0,0,Venetico
083106,7f9b0ba0-4fe4-11ef-b549-d70b730998a4,2024-08-01T08:50:44.988Z,wcag-21,compliant,false,wordpress,null,2,0,Terme Vigliatore
084001,683e61e0-13c1-11f0-b1bc-fd12b3b3c157,2025-04-07T14:59:14.525Z,null,null,null,null,null,null,null,Agrigento
084002,6ee7b0d0-d3f9-11ef-a0c7-9925ec41d816,2025-01-16T10:49:13.818Z,wcag-21,compliant,false,other,Di tipo proprietario Halley informatica,2,0,Alessandria della Rocca
084003,0e4c111b-1d94-4240-947c-7fed1dc40fa7,2023-09-25T14:32:00.766Z,wcag-21,partially-compliant,reason-42004,wordpress,,4,0,Aragona
084005,f2c58420-cf2e-11ee-948c-75bc3814d148,2024-02-19T13:53:30.682Z,wcag-21,compliant,false,other,Municipium,0,0,Burgio
084006,81089b20-ecd8-11ee-8076-91565e60cfa4,2024-03-28T07:48:44.926Z,wcag-21,compliant,false,other,Municipium,0,0,Calamonaci
084008,bd7e6160-e3a5-11ef-b2ee-25f1d342012b,2025-02-05T09:43:59.568Z,wcag-21,compliant,false,other,Di tipo proprietario Halley informatica,1,0,Camastra
084009,f68daf70-e890-11ef-8f81-bb8be98d8cfa,2025-02-11T15:56:52.596Z,wcag-21,compliant,false,other,Di tipo proprietario Halley informatica,2,2,Cammarata
084013,c542e920-d8bc-46b6-8aff-8ab3ee879e24,2020-09-20T15:42:19.186Z,wcag-20,compliant,,other,Proprietario,1,1,Castrofilippo
084015,6a41a7c0-862e-11ef-b279-975c350118a3,2024-10-09T11:05:14.304Z,wcag-21,partially-compliant,reason-42004,wordpress,,1,1,Cianciana
084016,468d0320-d4cf-11ef-90e7-cd6e74fb876a,2025-01-17T12:22:23.910Z,wcag-21,partially-compliant,true,wordpress,null,0,0,Comitini
084017,908dc190-ff3a-11ef-8255-15a9cea29c24,2025-03-12T12:06:25.739Z,wcag-21,partially-compliant,true,wordpress,null,16,0,Favara
084019,66fc6a60-904b-11ef-be07-8dcbda14143c,2024-10-22T07:50:11.313Z,wcag-21,compliant,false,other,Di tipo proprietario Halley informatica,0,0,Joppolo Giancaxio
084021,3786bc80-50be-11ef-a3cb-314b6319eaa6,2024-08-02T10:54:04.891Z,wcag-21,partially-compliant,false,wordpress,null,1,1,Licata
084022,44f4f512-7109-4b60-ae2e-fe5c44ea940a,2023-08-29T07:21:43.868Z,wcag-21,compliant,,other,MUNICIPIUM,0,0,Lucca Sicula
084023,a1a2fa30-0648-11f0-a13f-611a32d9f6ef,2025-03-21T11:31:54.254Z,wcag-21,compliant,false,wordpress,null,1,1,Menfi
084024,d140ce80-1200-11ef-bfbb-4591b478c365,2024-10-15T10:24:15.281Z,wcag-21,compliant,false,other,Municipium,1,1,Montallegro
084025,b16b0560-1f49-11f0-965b-67bc797ef4cd,2025-04-22T07:13:02.572Z,wcag-21,partially-compliant,true,other,"CMS Proprietario , realizzato dall'azienda stessa, nome eGov Halley",1,0,Montevago
084026,80df07f0-f525-11ef-b154-6ba53c18032a,2025-02-27T16:19:59.490Z,wcag-21,partially-compliant,true,wordpress,null,1,1,Naro
084028,f658a220-c029-11ee-82be-391b031f4281,2024-01-31T11:14:03.352Z,wcag-21,compliant,false,wordpress,null,0,0,Porto Empedocle
084031,0b39bc28-dacc-4ae9-b6d4-238faea80ae0,2023-09-21T11:04:06.486Z,wcag-21,compliant,,wordpress,,1,1,Ravanusa
084032,d747a950-e9f2-11ef-a037-0369fe881c16,2024-09-24T09:55:33.458Z,wcag-21,compliant,false,other,Municipium,1,0,Realmonte
084034,6a6a4840-7b13-11ef-b971-6db9d45b36ff,2024-09-25T07:54:29.272Z,wcag-21,compliant,false,wordpress,null,0,0,Sambuca di Sicilia
084036,8f514930-b2f7-11ef-b82b-5de60679f8b8,2024-12-05T10:50:33.233Z,wcag-21,compliant,false,other,Di tipo proprietario Halley informatica,0,0,San Giovanni Gemini
084037,26722dc0-0d94-400e-8d3a-de3dfabe7913,2023-09-29T15:26:17.270Z,wcag-21,compliant,,wordpress,,0,0,Santa Elisabetta
084038,bf16c120-7406-11ef-ad59-7999c36c5ea8,2024-09-16T08:36:02.706Z,wcag-21,compliant,false,wordpress,null,2,2,Santa Margherita di Belice
084040,6b571170-8554-11ef-b1c0-9fa687419dd2,2024-10-08T09:01:34.231Z,wcag-21,compliant,false,other,Di tipo proprietario Halley informatica,2,2,Santo Stefano Quisquina
084042,94b19f30-c114-11ef-b3a5-df7507c02810,2024-12-23T09:44:50.306Z,wcag-21,compliant,false,other,Di tipo proprietario Halley informatica,1,1,Siculiana
084043,4af4a280-0e34-11f0-ad16-b10dfe317064,2025-03-31T13:24:15.663Z,wcag-21,partially-compliant,true,wordpress,null,0,0,Villafranca Sicula
085003,1132ba70-e129-11ee-9ca6-295092010efe,2024-03-13T10:47:20.318Z,wcag-21,partially-compliant,true,other,Magnolia,2,0,Butera
085004,accabf80-d163-11ee-92a7-e17385d1dabc,2024-02-22T09:03:52.124Z,wcag-21,compliant,false,other,Municipium,0,0,Caltanissetta
085005,34b65690-e47b-11ef-ac38-15e5a71e6330,2025-02-06T11:09:22.903Z,wcag-21,compliant,false,other,Di tipo proprietario Halley informatica,1,1,Campofranco
085006,d64433b0-fb0b-11ee-ba8e-7dc9558aff3b,2024-04-15T09:32:10.103Z,wcag-21,compliant,false,wordpress,null,1,1,Delia
085007,5959afb0-0893-11f0-b49e-8b2b5a506afa,2025-03-24T09:33:35.769Z,wcag-21,partially-compliant,true,wordpress,null,23,23,Gela
085008,0a88c4f0-e82a-11ee-a68c-53263849f09a,2024-03-22T08:55:24.477Z,wcag-21,partially-compliant,false,wordpress,null,0,0,Marianopoli
085010,71441760-8f9d-11ef-9d9e-dd4dec953018,2024-10-21T11:12:51.224Z,wcag-21,partially-compliant,,wordpress,,0,0,Milena
085016,df46e050-a0df-11ef-9d8e-3594c6f9a9e0,2024-11-12T10:15:40.764Z,wcag-21,partially-compliant,false,wordpress,null,1,0,San Cataldo
085019,491ffca0-9db1-11ef-9143-e18092bad461,2024-11-08T09:08:38.189Z,wcag-21,partially-compliant,true,wordpress,null,0,0,Sommatino
085020,dfb582a0-8fb2-11ef-9ed3-75fcfe6687bb,2024-10-21T13:46:22.361Z,wcag-21,partially-compliant,false,wordpress,null,0,0,Sutera
085021,d2d7c470-385b-11ef-9823-1912d796580b,2024-07-02T10:10:40.264Z,wcag-21,partially-compliant,false,wordpress,null,1,1,Vallelunga Pratameno
085022,275cd200-20fb-11f0-a404-3f45721a3750,2025-04-24T10:52:17.969Z,wcag-21,partially-compliant,true,wordpress,null,1,0,Villalba
086001,56082990-743c-11ef-a12c-23e1256ed097,2024-09-16T14:58:54.193Z,wcag-21,compliant,false,other,MUNICIPIUM,1,1,Agira
086002,0b5c21c0-79ba-11ef-bf72-21a38750c13e,2025-03-31T16:17:34.456Z,wcag-21,partially-compliant,true,none,null,0,0,Aidone
086003,dea92510-7c11-11ef-b6e6-0163f50dd3b8,2025-03-28T18:20:38.544Z,wcag-21,partially-compliant,true,other,COMWEB2.0,0,0,Assoro
086004,a13842a0-ad81-11ef-9020-4fee04a75b6b,2024-11-28T11:53:15.432Z,wcag-21,partially-compliant,true,other,Magnolia,1,0,Barrafranca
086005,5dab2670-773e-11ef-a4dd-23a70a181b22,2024-09-20T10:48:36.632Z,wcag-21,partially-compliant,true,other,ComWeb 2.0,0,0,Calascibetta
086006,691e81f0-7c11-11ef-a68f-dbc36b905a5c,2025-03-28T18:21:20.344Z,wcag-21,partially-compliant,true,other,COMWEB2.0,0,0,Catenanuova
086007,12fd1c70-8196-11ef-91ae-e93b0b573aa7,2024-10-03T14:39:20.530Z,wcag-21,compliant,false,drupal,null,2,2,Centuripe
086008,ade5bd20-f328-11ee-8ca1-7774ab777874,2024-04-05T08:35:55.040Z,wcag-21,partially-compliant,true,wordpress,null,0,0,Cerami
086009,b580e761-e964-4de6-a0e1-7b94220cb00a,2024-09-17T11:08:10.506Z,wcag-21,compliant,,none,,7,6,Enna
086010,6dd1d3d0-7bf0-11ef-8fe4-ed428adcda5b,2024-09-26T10:16:03.643Z,wcag-21,partially-compliant,true,other,Altro,0,0,Gagliano Castelferrato
086011,78154870-95d8-11ef-ad01-e5eb3c258192,2024-10-29T09:20:04.730Z,wcag-21,partially-compliant,true,other,OpenCity Italia,3,1,Leonforte
086012,3ec9b430-79c1-11ef-b804-fb77f4239dfc,2024-09-23T15:33:11.131Z,wcag-21,partially-compliant,true,wordpress,null,2,0,Nicosia
086013,dd280060-e469-11ef-8ce3-cf57ce3f69bc,2025-03-28T18:15:48.945Z,wcag-21,partially-compliant,true,other,ComWeb 2.0,45,0,Nissoria
086014,2151ba30-864e-11ef-89b0-298752c36f54,2024-10-09T14:41:43.571Z,wcag-21,partially-compliant,true,other,"CMS Proprietario , realizzato dall&amp;#39;azienda stessa, nome eGov Halley",2,2,Piazza Armerina
086015,1fa8933a-8b3b-43ed-b664-442fee29932d,2023-09-18T13:52:35.028Z,wcag-21,compliant,,wordpress,,3,3,Pietraperzia
086016,d929bdf0-0e1c-11f0-b3ea-1b8082a8c26d,2025-03-31T10:33:25.271Z,wcag-21,compliant,false,other,Il CMS utilizzato per il sito web DomosWeb.PA è sviluppato appositamente da MEM Informatica.,0,0,Regalbuto
086018,d9ab39b0-f28a-11ee-a85c-1f35598737a0,2024-04-04T13:46:28.483Z,wcag-21,compliant,false,other,municipium,1,1,Troina
087001,831f1f80-6685-4fb8-ab22-1a9760d472ab,2023-09-22T08:12:40.335Z,wcag-20,compliant,,other,CMS labs,1,1,Aci Bonaccorsi
087003,b350f8e0-f356-11ef-8dd5-c309200c2e42,2025-02-25T08:36:54.621Z,wcag-21,partially-compliant,false,wordpress,null,3,1,Aci Catena
087004,9258f760-bd1d-11ef-866e-a9bb2714a38d,2024-12-18T08:49:01.335Z,wcag-21,compliant,false,other,Municipium,10,10,Acireale
087006,33479f20-7ca3-11ef-9cab-035c75f9d491,2024-09-27T07:36:20.866Z,wcag-21,partially-compliant,reason-42004,wordpress,,9,3,Adrano
087007,f48fd7d0-ce5e-11ef-a055-d18dc1616607,2025-01-09T07:55:52.088Z,wcag-21,compliant,false,other,Municipium,1,1,Belpasso
087008,bb227eb0-2fb9-11ef-aae6-b93b24257894,2024-06-21T10:33:26.997Z,wcag-21,compliant,false,other,MUNICIPIUM,1,1,Biancavilla
087009,984152c0-ff27-11ef-adcd-0755f491fdb5,2025-03-12T09:29:00.141Z,wcag-21,partially-compliant,true,wordpress,null,2,2,Bronte
087011,6d360d90-74e0-11ef-8f3f-4bab55fb1db4,2024-09-17T10:31:25.905Z,wcag-21,compliant,false,other,Il CMS utilizzato per il sito web DomosWeb.PA è sviluppato appositamente da MEM Informatica.,11,0,Caltagirone
087012,8e69ada0-0bb2-11f0-ae5e-03932e8acabe,2025-03-28T08:53:21.389Z,wcag-21,partially-compliant,true,wordpress,null,0,0,Camporotondo Etneo
087013,4ef2b440-ec33-11ee-b018-2fa68f1152d9,2024-03-27T12:07:06.378Z,wcag-21,compliant,false,other,MUNICIPIUM,1,0,Castel di Iudica
087015,e7e991a0-79aa-11ef-9314-1b0b717ea709,2024-09-23T12:47:27.456Z,wcag-21,partially-compliant,true,other,Sitemanager 3.0,14,14,Catania
087016,42fc0490-7692-11ef-9884-91a81f35a46b,2024-09-19T14:10:07.818Z,wcag-21,partially-compliant,true,other,"CMS Proprietario , realizzato dall&amp;#39;azienda stessa, nome eGov Halley",0,0,Fiumefreddo di Sicilia
087017,fa8368c0-beb8-11ee-9710-11c1ac7f90d0,2024-01-29T15:11:17.644Z,wcag-21,compliant,false,wordpress,null,0,0,Giarre
087018,c474a110-f36c-11ef-9db2-2f28b77edab3,2025-02-25T11:28:42.448Z,wcag-21,partially-compliant,true,other,"CMS Proprietario , realizzato dall'azienda stessa, nome eGov Halley",1,1,Grammichele
087019,0bd8ea10-66ba-11ef-909a-172c346e2883,2024-08-30T10:24:14.899Z,wcag-21,partially-compliant,false,other,MUNICIPIUM,7,2,Gravina di Catania
087021,e5cfcba0-ffec-11ef-b4a2-450bae1dc3bf,2025-03-13T09:23:47.689Z,wcag-21,partially-compliant,true,wordpress,null,2,2,Linguaglossa
087022,a0789600-bdf1-11ef-a06e-2773936b371a,2024-12-19T10:08:13.399Z,wcag-21,partially-compliant,true,other,"CMS Proprietario , realizzato dall'azienda stessa, nome eGov Halley",0,0,Maletto
087023,9e7ce3c0-bf5e-11ee-bc27-87be3c5d4cdd,2024-01-30T10:57:44.725Z,wcag-21,compliant,false,wordpress,null,0,0,Mascali
087024,0d037d80-fa8d-11ef-bbb9-e98247dbb401,2025-03-06T13:14:16.153Z,wcag-21,partially-compliant,false,other,Municipium,1,1,Mascalucia
087026,6c94a430-8649-11ef-b799-07805a3d40c7,2024-10-09T14:14:43.552Z,wcag-21,partially-compliant,true,other,"CMS Proprietario , realizzato dall&amp;#39;azienda stessa, nome eGov Halley",0,0,Milo
087027,4a1caa80-7be3-11ef-9f3a-cf8694bdd0f2,2024-09-26T08:42:32.599Z,wcag-21,partially-compliant,true,other,piattaforma Open Source eZ Publish,2,0,Mineo
087029,c7d72fc0-860d-11ef-b411-47a345df89f5,2024-10-09T07:11:54.843Z,wcag-21,partially-compliant,true,other,Sitemanager 3.0,14,1,Misterbianco
087030,ed010603-a059-41ad-bb04-de19d8a77e29,2023-03-30T07:08:44.365Z,null,null,null,null,null,null,null,Motta Sant'Anastasia
087032,052a0f90-0a1c-11f0-8fa5-75ed6efe94d8,2025-03-26T08:19:52.950Z,wcag-21,partially-compliant,true,other,Magnolia,0,0,Palagonia
087033,22b4bea0-0fa0-11f0-b381-4596267a51f6,2025-04-02T08:40:31.017Z,wcag-21,compliant,false,other,municipium,6,5,Paternò
087034,9d6e68d0-79cd-11ef-897b-dbb76ffcab73,2024-09-23T16:59:09.441Z,wcag-21,compliant,false,other,MUNICIPIUM,2,0,Pedara
087035,ad5817f0-7752-11ef-a621-4965d22f90f5,2024-09-20T13:01:28.558Z,wcag-21,partially-compliant,true,other,Il CMS utilizzato per il sito web DomosWeb.PA è sviluppato appositamente da MEM Informatica.,4,0,Piedimonte Etneo
087037,41b00d10-eeb6-11ef-9def-a36facaf05a9,2025-02-19T11:39:48.585Z,wcag-21,partially-compliant,false,wordpress,null,5,1,Ramacca
087038,16c9e910-0020-11f0-afd3-35d60f7e1e02,2025-03-13T15:19:49.223Z,wcag-21,compliant,false,other,halley informatica,0,0,Randazzo
087040,26118a70-7990-11ef-b864-1badec5a719d,2024-09-23T09:38:53.933Z,wcag-21,partially-compliant,true,none,null,0,0,San Cono
087041,b7fe1760-c675-11ee-bbe4-3f45423a0867,2024-02-08T11:31:55.639Z,wcag-21,partially-compliant,,wordpress,,1,1,San Giovanni la Punta
087042,9c542430-8301-11ee-b248-11c02feae02e,2023-11-14T15:18:27.231Z,wcag-21,compliant,false,other,Municipium,0,0,San Gregorio di Catania
087043,1c16bb00-8d17-11ee-bc16-1b27babe9b05,2024-09-17T07:39:16.651Z,wcag-21,compliant,false,wordpress,null,0,0,San Michele di Ganzaria
087045,06e30209-a35a-44ce-8afb-8d8ec7589142,2022-04-15T11:34:21.648Z,null,null,null,null,null,null,null,Sant'Agata li Battiati
087047,fe3382f3-e64f-4ba7-b1e5-8693da4c93a7,2024-09-17T11:05:01.494Z,wcag-21,compliant,,other,MUNICIPIUM,0,0,Santa Maria di Licodia
087048,c21293f0-0ef1-11f0-9715-e16af4f00782,2025-04-01T11:58:29.890Z,wcag-21,partially-compliant,true,wordpress,null,0,0,Santa Venerina
087049,fa880670-2026-11f0-954f-2184837fdad7,2025-04-23T09:32:58.515Z,wcag-21,partially-compliant,true,wordpress,null,0,0,Scordia
087050,d877c690-53e1-11ef-abf9-718fd9b95837,2024-08-06T10:46:03.535Z,wcag-21,compliant,false,wordpress,null,2,2,Trecastagni
087051,975dfab0-1da6-11ef-b410-af27417052ab,2024-05-29T10:24:32.434Z,wcag-21,partially-compliant,false,wordpress,null,1,0,Tremestieri Etneo
087053,7650a9b0-0d4f-11ef-bf1b-0b3291b8878e,2024-05-08T15:22:27.034Z,wcag-21,partially-compliant,false,wordpress,null,2,0,Viagrande
087055,ab52a770-b3b4-11ee-a91f-494cc48b00d5,2024-01-15T14:30:47.834Z,wcag-21,compliant,false,other,Municipium,1,1,Zafferana Etnea
087056,d8942ca0-92b5-11ef-b736-b5143e13fef4,2024-10-25T09:36:52.122Z,wcag-21,compliant,false,wordpress,null,0,0,Mazzarrone
087057,63a5f631-592e-43db-a3fa-5ebf27129c93,2023-08-03T11:10:04.234Z,wcag-21,compliant,,other,MUNICIPIUM,1,1,Maniace
088001,f7a7ef90-f8d7-11ef-b0a3-658e9deee7cd,2025-03-04T09:01:44.768Z,wcag-21,compliant,false,other,Municipium,1,1,Acate
088002,8d3b74e0-ed08-11ef-bd8d-77fbd3c974c5,2025-02-17T08:24:01.734Z,wcag-21,partially-compliant,true,other,Magnolia,3,0,Chiaramonte Gulfi
088003,b4edb870-75a0-11ef-8837-bb872369122d,2024-09-18T09:18:36.521Z,wcag-21,compliant,false,wordpress,null,4,4,Comiso
088009,dadda760-ae54-11ef-a2e6-4fd4ca3c1ae2,2024-11-29T13:16:37.487Z,wcag-21,compliant,false,other,MUNICIPIUM,10,10,Ragusa
088010,8abdc160-772d-11ef-93ab-c543e4780b63,2024-09-20T08:45:52.439Z,wcag-21,partially-compliant,false,wordpress,null,0,0,Santa Croce Camerina
089001,d8902c20-a036-11ef-b613-75186ef81d4f,2024-11-11T14:11:23.360Z,wcag-21,partially-compliant,true,wordpress,null,8,7,Augusta
089002,994f7dd0-0ed2-11f0-baf7-db07e691446d,2025-04-01T08:12:31.297Z,wcag-21,partially-compliant,true,other,"CMS Proprietario , realizzato dall'azienda stessa, nome eGov Halley",28,0,Avola
089003,29e367e0-c9a5-11ee-81c5-df3b5ef1ef86,2024-02-12T12:41:41.253Z,wcag-21,compliant,false,wordpress,null,0,0,Buccheri
089004,770dddb2-2e08-4a36-9597-c2cecef72bd5,2021-01-15T15:37:27.723Z,wcag-20,compliant,,wordpress,,0,0,Buscemi
089006,251965a0-fb33-11ef-a73e-e5510f4f141c,2025-03-07T08:38:13.739Z,wcag-21,partially-compliant,true,wordpress,null,1,1,Carlentini
089007,be60e3d8-450b-4ead-ba7d-f6c98666ff52,2023-09-28T08:21:25.622Z,null,null,null,null,null,null,null,Cassaro
089008,beb08550-7a95-11ef-95ba-a59c7efce313,2024-09-24T16:54:56.710Z,wcag-21,compliant,false,wordpress,,1,0,Ferla
089010,c299ac76-6d08-4c34-9957-00519dde4ea9,2023-09-14T17:29:48.543Z,wcag-21,partially-compliant,reason-42004,other,Gatsby 2.13.33,6,0,Francofonte
089011,63f9f4d0-6c25-11ef-a3b5-d926043e7c7d,2024-09-06T07:41:19.132Z,wcag-21,compliant,false,other,CMS Evolution,7,0,Lentini
089013,324d4ce0-00b6-11f0-9492-515dfdb74a7c,2025-03-14T09:16:58.278Z,wcag-21,compliant,false,other,Municipium,5,5,Noto
089014,2ab25a30-0b9c-11ef-8342-8f3dab49365f,2024-05-06T11:30:22.089Z,wcag-21,partially-compliant,true,other,Magnolia,2,2,Pachino
089015,23012400-8b95-11ef-8a54-2d33ef7d9d6d,2024-10-16T07:56:33.877Z,wcag-21,partially-compliant,true,other,Magnolia,1,0,Palazzolo Acreide
089018,f08cace0-75bb-11ef-bf95-55ae99256d83,2024-09-18T12:42:09.448Z,wcag-21,partially-compliant,true,wordpress,null,0,0,Solarino
089020,a9d00110-aca4-11ef-8825-8dfe0aaf6397,2024-11-27T09:34:23.991Z,wcag-21,partially-compliant,true,other,Opencity Italia,1,1,Portopalo di Capo Passero
089021,155f5ec0-1146-11f0-8892-d7f052319ef9,2025-04-04T11:07:49.991Z,wcag-21,partially-compliant,true,wordpress,null,4,0,Priolo Gargallo
